stateCode,constituency
MH,Karmala
MH,Madha
MH,Barshi
MH,Mohol
MH,Solapur City North
MH,Solapur City Central
MH,Akkalkot
MH,Solapur South
MH,Pandharpur
MH,Sangole
MH,Malshiras
MH,Phaltan
MH,Wai
MH,Koregaon
MH,Man
MH,Karad North
MH,Karad South
MH,Patan
MH,Satara
MH,Dapoli
MH,Guhagar
MH,Chiplun
MH,Ratnagiri
MH,Rajapur
MH,Kankavli
MH,Kudal
MH,Sawantwadi
MH,Chandgad
MH,Radhanagari
MH,Kagal
MH,Kolhapur South
MH,Karvir
MH,Kolhapur North
MH,Shahuwadi
MH,Hatkanangle
MH,Ichalkaranji
MH,Shirol
MH,Miraj
MH,Sangli
MH,Islampur
MH,Shirala
MH,Palus-Kadegaon
MH,Khanapur
MH,Tasgaon-Kavathe Mahankal
MH,Jat
MN,Khundrakpam
MN,Heingang
MN,Khurai
MN,Kshetrigao
MN,Thongju
MN,Keirao
MN,Andro
MN,Lamlai
MN,Thangmeiband
MN,Uripok
MN,Sagolband
MN,Keishamthong
MN,Singjamei
MN,Yaiskul
MN,Wangkhei
MN,Sekmai 
MN,Lamsang
MN,Konthoujam
MN,Patsoi
MN,Langthabal
MN,Naoriya Pakhanglakpa
MN,Wangoi
MN,Mayang Imphal
MN,Nambol
MN,Oinam
MN,Bishnupur
MN,Moirang
MN,Thanga
MN,Kumbi
MN,Lilong
MN,Thoubal
MN,Wangkhem
MN,Heirok
MN,Wangjing Tentha
MN,Khangabok
MN,Wabgai
MN,Kakching
MN,Hiyanglam
MN,Sugnu
MN,Jiribam
MN,Chandel
MN,Tengnoupal
MN,Phungyar
MN,Ukhrul
MN,Chingai
MN,Saikul
MN,Karong
MN,Mao
MN,Tadubi
MN,Kang
MN,Saitu
MN,Tamei
MN,Tamenglong
MN,Nungba
MN,Tipaimukh
MN,Thanlon
MN,Henglep
MN,Churachandpur
MN,Saikot
MN,Singhat
ML,Nartiang
ML,Jowai
ML,Raliang
ML,Mowkaiaw
ML,Sutnga Saipung
ML,Khliehriat
ML,Amlarem
ML,Mawhati
ML,Nongpoh
ML,Jirang
ML,Umsning
ML,Umroi
ML,Mawrengkneng
ML,Pynthorumkhrah
ML,Mawlai
ML,East Shillong
ML,North Shillong
ML,South Shillong
ML,West Shillong
ML,Mylliem
ML,Nongthymmai
ML,Nongkrem
ML,Sohiong
ML,Mawphlang
ML,Mawsynram
ML,Pynursla
ML,Sohra
ML,Mawkynrew
ML,Mairang
ML,Mawthadraishan
ML,Nongstoin
ML,Rambrai Jyrngam
ML,Mawshynrut
ML,Ranikor
ML,Mawkyrwat
ML,Kharkutta
ML,Mendipathar
ML,Resubelpara
ML,Bagengdoba
ML,Songsak
ML,Rongjeng
ML,Willamnagar
ML,Raksamgre
